class_id,temperature_c_mean,temperature_c_std,humidity_pct_mean,humidity_pct_std,co2_ppm_mean,co2_ppm_std,motion_score_mean,motion_score_std,light_lux_mean,light_lux_std,air_quality_idx_mean,air_quality_idx_std,sound_db_mean,sound_db_std,occupancy_est_mean,occupancy_est_std,power_kw_mean,power_kw_std,vibration_mg_mean,vibration_mg_std
0,20,0.5,40,3,400,20,0,0.1,100,30,95,2,30,3,0,0.5,0.5,0.1,0.1,0.05
1,21.5,0.8,45,4,550,40,1.5,0.5,300,50,92,3,38,5,1.2,0.3,1.2,0.3,0.3,0.1
2,22,1,48,4,750,80,3.5,0.8,350,60,88,4,48,6,3.5,0.8,1.8,0.4,0.5,0.15
3,23,1.2,52,5,1100,120,6,1.2,400,70,82,5,58,8,9,1.5,3,0.6,0.9,0.2
4,23.5,1.5,55,5,1500,150,4,1,450,80,78,6,55,7,28,4,5,0.8,1.2,0.3
5,22.5,1.2,50,4.5,900,100,5,1.1,500,90,85,5,52,7,15,3,4,0.7,2.5,0.5
6,24,1.5,58,6,1200,130,8,1.5,380,65,75,7,72,10,40,8,8,1.2,1.8,0.4
7,25,2,65,8,800,90,9.5,1.8,600,100,70,8,80,12,20,5,6,1,5,1
8,21,1,43,3.5,480,50,7,1.5,250,40,90,3,55,8,5,1.5,1,0.2,1.5,0.3
9,22,3,50,8,900,200,10,2,800,150,60,15,95,15,15,5,12,3,8,2
